id,percentage_column,bst_time,day_of_week,current_date_bst,temperature,humidity,chance_of_rain,wind
772,71,1005,6,2024-09-15,7,80,24,18
773,69,1025,6,2024-09-15,7,80,24,18
774,72,1045,6,2024-09-15,7,82,44,16
775,69,1065,6,2024-09-15,7,82,8,16
776,66,1085,6,2024-09-15,6,84,8,17
777,65,1105,6,2024-09-15,7,83,8,17
778,65,1125,6,2024-09-15,7,84,8,14
779,59,1146,6,2024-09-15,7,85,8,12
780,63,1165,6,2024-09-15,7,85,8,12
781,71,1185,6,2024-09-15,7,84,8,12
782,69,1206,6,2024-09-15,7,84,8,11
783,62,1225,6,2024-09-15,7,84,8,10
784,63,1245,6,2024-09-15,7,84,8,9
785,44,1265,6,2024-09-15,7,87,8,10
786,37,1286,6,2024-09-15,7,87,8,10
787,36,1305,6,2024-09-15,7,88,8,9
